Data Table for Daily Case Trends - North Carolina
Date generated: Sun Nov 07 2021 12:42:02 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
North Carolina,May 11 2020,117,489
North Carolina,May 10 2020,193,497
North Carolina,May  9 2020,543,495
North Carolina,May  8 2020,621,482
North Carolina,May  7 2020,712,459
North Carolina,May  6 2020,551,420
North Carolina,May  5 2020,688,403
North Carolina,May  4 2020,172,384
North Carolina,May  3 2020,182,377
North Carolina,May  2 2020,450,387
North Carolina,May  1 2020,461,405
North Carolina,Apr 30 2020,436,412
North Carolina,Apr 29 2020,432,412
North Carolina,Apr 28 2020,559,416
North Carolina,Apr 27 2020,120,399
North Carolina,Apr 26 2020,255,399
North Carolina,Apr 25 2020,576,383
North Carolina,Apr 24 2020,507,337
North Carolina,Apr 23 2020,437,342
North Carolina,Apr 22 2020,463,333
North Carolina,Apr 21 2020,438,308
North Carolina,Apr 20 2020,121,286
North Carolina,Apr 19 2020,139,284
North Carolina,Apr 18 2020,258,289
North Carolina,Apr 17 2020,541,297
North Carolina,Apr 16 2020,377,267
North Carolina,Apr 15 2020,284,254
North Carolina,Apr 14 2020,282,251
North Carolina,Apr 13 2020,112,268
North Carolina,Apr 12 2020,172,264
North Carolina,Apr 11 2020,317,256
North Carolina,Apr 10 2020,327,239
North Carolina,Apr  9 2020,285,224
North Carolina,Apr  8 2020,264,218
North Carolina,Apr  7 2020,399,210
North Carolina,Apr  6 2020,86,183
North Carolina,Apr  5 2020,114,182
North Carolina,Apr  4 2020,203,180
North Carolina,Apr  3 2020,222,175
North Carolina,Apr  2 2020,239,171
North Carolina,Apr  1 2020,212,165
North Carolina,Mar 31 2020,210,160
North Carolina,Mar 30 2020,75,164
North Carolina,Mar 29 2020,100,163
North Carolina,Mar 28 2020,167,160
North Carolina,Mar 27 2020,197,159
North Carolina,Mar 26 2020,198,154
North Carolina,Mar 25 2020,176,148
North Carolina,Mar 24 2020,235,138
North Carolina,Mar 23 2020,73,119
North Carolina,Mar 22 2020,76,111
North Carolina,Mar 21 2020,164,101
North Carolina,Mar 20 2020,161,86
North Carolina,Mar 19 2020,152,65
North Carolina,Mar 18 2020,109,45
North Carolina,Mar 17 2020,103,30
North Carolina,Mar 16 2020,14,15
North Carolina,Mar 15 2020,9,14
North Carolina,Mar 14 2020,57,13
North Carolina,Mar 13 2020,15,5
North Carolina,Mar 12 2020,11,3
North Carolina,Mar 11 2020,5,1
North Carolina,Mar 10 2020,0,0
North Carolina,Mar  9 2020,4,1
North Carolina,Mar  8 2020,1,0
North Carolina,Mar  7 2020,0,0
North Carolina,Mar  6 2020,0,0
North Carolina,Mar  5 2020,1,0
North Carolina,Mar  4 2020,0,0
North Carolina,Mar  3 2020,1,0
North Carolina,Mar  2 2020,0,0
